speciesRus,speciesLat,observationsNumber,individualsNumber
Аист белый,Ciconia ciconia,1,1
Баклан большой,Phalacrocorax carbo,3,133
Бекас,Gallinago gallinago,1,1
Воробей домовый,Passer domesticus,49,1040
Воробей полевой,Passer montanus,46,1727
Ворон,Corvus corax,24,273
Ворона серая,Corvus corone,41,485
Вьюрок европейский,Serinus serinus,1,2
Вяхирь,Columba palumbus,8,138
Гаичка буроголовая,Poecile montanus,2,15
Гаичка черноголовая,Poecile palustris,3,6
Галка,Corvus monedula,34,2917
Гоголь обыкновенный,Bucephala clangula,4,18
Голубь сизый,Columba livia forma urbana,43,1735
Горихвостка обыкновенная,Phoenicurus phoenicurus,3,7
Горихвостка-чернушка,Phoenicurus ochruros,10,34
Горлица кольчатая,Streptopelia decaocto,6,21
Грач,Corvus frugilegus,42,3906
Гуменник,Anser fabalis,3,25
Гусь белолобый,Anser albifrons,5,141
Гусь серый,Anser anser,9,698
Дрозд певчий,Turdus philomelos,7,61
Дрозд черный,Turdus merula,9,71
Дубонос обыкновенный,Coccothraustes coccothraustes,7,19
Дятел малый,Dendrocopos minor,6,7
Дятел пестрый,Dendrocopos major,17,40
Дятел сирийский,Dendrocopos syriacus,4,5
Дятел средний,Dendrocopos medius,1,1
Жаворонок полевой,Alauda arvensis,6,87
Жаворонок хохлатый,Galerida cristata,1,2
Желна,Dryocopus martius,2,2
Жулан обыкновенный,Lanius collurio,1,1
Журавль серый,Grus grus,10,281
Завирушка лесная,Prunella modularis,1,3
Зарянка,Erithacus rubecula,6,36
Зеленушка обыкновенная,Carduelis chloris,15,100
Зимородок обыкновенный,Alcedo atthis,1,2
Зяблик,Fringilla coelebs,9,161
Каменка обыкновенная,Oenanthe oenanthe,1,2
Камышница,Gallinula chloropus,2,3
Камышовка тростниковая,Acrocephalus scirpaceus,1,5
Камышовка-барсучок,Acrocephalus schoenobaenus,1,1
Канюк обыкновенный,Buteo buteo,11,38
Кедровка,Nucifraga caryocatactes,1,1
Клест обыкновенный,Loxia curvirostra,1,2
Клинтух,Columba oenas,4,16
Конек луговой,Anthus pratensis,1,5
Коноплянка,Carduelis cannabina,4,52
Королек желтоголовый,Regulus regulus,8,52
Коршун черный,Milvus migrans,1,3
Крапивник,Troglodytes troglodytes,9,33
Кроншнеп большой,Numenius arquata,1,2
Кряква,Anas platyrhynchos,34,1485
Куропатка серая,Perdix perdix,1,9
Лазоревка белая,Cyanistes cyanus,1,4
Лазоревка обыкновенная,Cyanistes caeruleus,11,58
Ласточка деревенская,Hirundo rustica,1,1
Лебедь малый,Cygnus columbianus,1,2
Лебедь-кликун,Cygnus cygnus,1,25
Лебедь-шипун,Cygnus olor,18,111
Лунь болотный,Circus aeruginosus,6,8
Лунь полевой,Circus cyaneus,1,1
Лысуха,Fulica atra,12,378
Московка,Periparus ater,2,6
Мухоловка серая,Muscicapa striata,1,2
Овсянка обыкновенная,Emberiza citrinella,11,145
Овсянка тростниковая,Emberiza schoeniclus,3,8
Орлан-белохвост,Haliaeetus albicilla,1,2
Пеночка-весничка,Phylloscopus trochilus,5,9
Пеночка-теньковка,Phylloscopus collybita,12,80
Перепелятник,Accipiter nisus,6,8
Пищуха короткопалая,Certhia brachydactyla,1,1
Пищуха обыкновенная,Certhia familiaris,8,13
Поганка большая,Podiceps cristatus,6,63
Поганка малая,Tachybaptus ruficollis,1,2
Подорлик малый,Aquila pomarina,1,1
Поползень обыкновенный,Sitta europaea,16,43
Пустельга обыкновенная,Falco tinnunculus,1,1
Ремез обыкновенный,Remiz pendulinus,1,3
Рябинник,Turdus pilaris,19,461
Рябчик,Bonasa bonasia,2,2
Свиязь,Anas penelope,1,58
Синица большая,Parus major,53,635
Синица длиннохвостая,Aegithalos caudatus,6,82
Синица хохлатая,Lophophanes cristatus,3,6
Скворец обыкновенный,Sturnus vulgaris,27,11148
Скопа,Pandion haliaetus,1,2
Славка-завирушка,Sylvia curruca,1,1
Снегирь обыкновенный,Pyrrhula pyrrhula,1,1
Сойка,Garrulus glandarius,37,235
Сорока,Pica pica,35,178
Сорокопут серый,Lanius excubitor,1,2
Стриж черный,Apus apus,1,46
Сыч домовый,Athene noctua,1,1
Тетеревятник,Accipiter gentilis,6,7
Трясогузка белая,Motacilla alba,12,57
Турухтан,Philomachus pugnax,1,1
Утка серая,Anas strepera,3,56
Хохотунья,Larus cachinnans,1,30
Цапля большая белая,Casmerodius albus,6,36
Цапля серая,Ardea cinerea,5,76
Чайка озерная,Chroicocephalus ridibundus,13,515
Чайка серебристая,Larus argentatus,2,2002
Чайка сизая,Larus canus,13,890
Чеглок,Falco subbuteo,1,1
Чернеть красноголовая,Aythya ferina,2,3
Чернеть морская,Aythya marila,1,6
Чернеть хохлатая,Aythya fuligula,7,84
Чечетка обыкновенная,Carduelis flammea,1,2
Чибис,Vanellus vanellus,3,546
Чиж,Carduelis spinus,3,165
Чирок-свистунок,Anas crecca,1,29
Чирок-трескунок,Anas querquedula,1,9
Широконоска,Anas clypeata,1,6
Щегол черноголовый,Carduelis carduelis,11,177
Юрок,Fringilla montifringilla,2,3
